AirlineName,AirportName,HighestAvgDelay
"Alaska Airlines Inc.: AS","Tampa, FL: Tampa International",40.98
"Allegiant Air: G4","Idaho Falls, ID: Idaho Falls Regional",157
"American Airlines Inc.: AA","Jackson, WY: Jackson Hole",181.01923076923077
"Delta Air Lines Inc.: DL","Pasco/Kennewick/Richland, WA: Tri Cities",67.12903225806451
"Endeavor Air Inc.: 9E","Dallas/Fort Worth, TX: Dallas/Fort Worth International",99.5
"Envoy Air: MQ","Milwaukee, WI: General Mitchell International",151.71428571428572
"Frontier Airlines Inc.: F9","Pittsburgh, PA: Pittsburgh International",76.57142857142857
"Hawaiian Airlines Inc.: HA","Sacramento, CA: Sacramento International",31.602150537634408
"JetBlue Airways: B6","Key West, FL: Key West International",89.6
"PSA Airlines Inc.: OH","Mobile, AL: Mobile Regional",126.08
"Republic Airline: YX","Houston, TX: George Bush Intercontinental/Houston",93.2
"SkyWest Airlines Inc.: OO","Sarasota/Bradenton, FL: Sarasota/Bradenton International",190.5
"Southwest Airlines Co.: WN","Corpus Christi, TX: Corpus Christi International",27.333333333333332
"Spirit Air Lines: NK","Louisville, KY: Louisville Muhammad Ali International",33.73913043478261
"United Air Lines Inc.: UA","San Luis Obispo, CA: San Luis County Regional",82.86666666666666
